Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	143.542556341	143.798238144	8235.300	14117.600	12656.250	11250.000	-72.42	0.2557	5882.300	12656.250	143.7173		SA	A	0	SS
2	Spectrogram 1	1	143.558876456	143.558876456	8941.200	8941.200	8906.250	8906.250	-66.50	0.0000	0.000	8906.250	143.5573	FI				
3	Spectrogram 1	1	143.784638048	143.784638048	13647.100	13647.100	13687.500	13687.500	-68.06	0.0000	0.000	13687.500	143.7867	FF				
4	Spectrogram 1	1	144.584323688	144.772005012	9294.100	13529.400	11156.250	11156.250	-72.27	0.1877	4235.300	11156.250	144.6293		SA	A	0	SS
5	Spectrogram 1	1	144.589763727	144.589763727	9647.100	9647.100	9656.250	9656.250	-62.85	0.0000	0.000	9656.250	144.5920	FI				
6	Spectrogram 1	1	144.758404916	144.758404916	12588.200	12588.200	12562.500	12562.500	-77.05	0.0000	0.000	12562.500	144.7573	FF				
7	Spectrogram 1	1	211.798656057	212.133752469	13219.251	17058.800	15000.000	14812.500	-81.04	0.3351	3839.549	15000.000	212.0000		SA	A	0	SB
8	Spectrogram 1	1	211.806816115	211.806816115	14235.300	14235.300	14250.000	14250.000	-71.12	0.0000	0.000	14250.000	211.8080	FI				
9	Spectrogram 1	1	212.133218417	212.133218417	16705.900	16705.900	16687.500	16687.500	-80.43	0.0000	0.000	16687.500	212.1333	FF				
10	Spectrogram 1	1	222.810995428	223.199958171	8941.200	26823.500	12187.500	13218.750	-82.48	0.3890	17882.300	12187.500	222.8693		NA	A	0	SS
11	Spectrogram 1	1	222.832755581	222.832755581	9529.400	9529.400	9562.500	9562.500	-74.84	0.0000	0.000	9562.500	222.8320	FI				
12	Spectrogram 1	1	223.186358075	223.186358075	26470.600	26470.600	26437.500	26437.500	-84.49	0.0000	0.000	26437.500	223.1840	FF				
13	Spectrogram 1	1	319.617884143	319.762045160	10000.000	18823.500	14343.750	12843.750	-81.25	0.1442	8823.500	14343.750	319.6800		SA	A	0	SS
14	Spectrogram 1	1	319.626044201	319.626044201	10705.900	10705.900	10687.500	10687.500	-84.08	0.0000	0.000	10687.500	319.6267	FI				
15	Spectrogram 1	1	319.759325141	319.759325141	18235.300	18235.300	18281.250	18281.250	-93.72	0.0000	0.000	18281.250	319.7600	FF				
16	Spectrogram 1	1	294.248628824	294.460790320	11764.700	18941.200	12281.250	13968.750	-79.05	0.2122	7176.500	12281.250	294.2720		SA	A	0	SS
17	Spectrogram 1	1	294.270388977	294.270388977	12000.000	12000.000	12000.000	12000.000	-79.16	0.0000	0.000	12000.000	294.2720	FI				
18	Spectrogram 1	1	294.455350282	294.455350282	18235.300	18235.300	18281.250	18281.250	-70.37	0.0000	0.000	18281.250	294.4533	FF				
19	Spectrogram 1	1	293.709092909	293.934854502	14588.200	18117.600	15281.250	15656.250	-80.75	0.2258	3529.400	15281.250	293.8133		SA	A	0	SS
20	Spectrogram 1	1	293.722693005	293.722693005	14823.500	14823.500	14812.500	14812.500	-70.70	0.0000	0.000	14812.500	293.7227	FI				
21	Spectrogram 1	1	293.929414463	293.929414463	17647.100	17647.100	17625.000	17625.000	-78.09	0.0000	0.000	17625.000	293.9307	FF				
22	Spectrogram 1	1	370.169040579	370.408402267	11764.700	18352.900	13875.000	13875.000	-78.75	0.2394	6588.200	13875.000	370.2720		SA	A	0	SS
23	Spectrogram 1	1	370.179920656	370.179920656	11882.400	11882.400	11906.250	11906.250	-83.53	0.0000	0.000	11906.250	370.1813	FI				
24	Spectrogram 1	1	370.392082152	370.392082152	17882.400	17882.400	17906.250	17906.250	-83.21	0.0000	0.000	17906.250	370.3947	FF				
25	Spectrogram 1	1	416.955416453	417.328059081	13058.800	26705.900	14531.250	16781.250	-85.99	0.3726	13647.100	14531.250	417.3280		NA	A	0	SB
26	Spectrogram 1	1	416.963576510	416.963576510	13529.400	13529.400	13500.000	13500.000	-71.67	0.0000	0.000	13500.000	416.9653	FI				
27	Spectrogram 1	1	417.319899024	417.319899024	26235.300	26235.300	26250.000	26250.000	-81.48	0.0000	0.000	26250.000	417.3173	FF				
28	Spectrogram 1	1	440.052122298	440.422044908	9529.400	16000.000	10968.750	11625.000	-80.43	0.3699	6470.600	10968.750	440.2400		SA	A	0	SS
29	Spectrogram 1	1	440.076602471	440.076602471	9764.700	9764.700	9750.000	9750.000	-81.09	0.0000	0.000	9750.000	440.0747	FI				
30	Spectrogram 1	1	440.411164831	440.411164831	15411.800	15411.800	15375.000	15375.000	-87.59	0.0000	0.000	15375.000	440.4107	FF				
31	Spectrogram 1	1	500.265271172	500.496472803	9529.400	16470.600	11156.250	11718.750	-80.69	0.2312	6941.200	11156.250	500.3627		SA	A	0	SS
32	Spectrogram 1	1	500.278871268	500.278871268	9882.400	9882.400	9843.750	9843.750	-93.03	0.0000	0.000	9843.750	500.2773	FI				
33	Spectrogram 1	1	500.491032765	500.491032765	15764.700	15764.700	15750.000	15750.000	-78.52	0.0000	0.000	15750.000	500.4907	FF				
34	Spectrogram 1	1	493.843063646	494.136825718	10235.300	16705.900	10781.250	12187.500	-81.68	0.2938	6470.600	10781.250	493.9307		SA	A	0	SS
35	Spectrogram 1	1	493.862103781	493.862103781	10470.600	10470.600	10500.000	10500.000	-75.40	0.0000	0.000	10500.000	493.8613	FI				
36	Spectrogram 1	1	494.125945642	494.125945642	16352.900	16352.900	16312.500	16312.500	-77.97	0.0000	0.000	16312.500	494.1280	FF				
37	Spectrogram 1	1	494.710749766	494.928351301	9882.400	16588.200	11718.750	11625.000	-80.66	0.2176	6705.800	11718.750	494.7947		SA	A	0	SS
38	Spectrogram 1	1	494.732509920	494.732509920	10117.600	10117.600	10125.000	10125.000	-78.78	0.0000	0.000	10125.000	494.7307	FI				
39	Spectrogram 1	1	494.914751205	494.914751205	16352.900	16352.900	16312.500	16312.500	-70.15	0.0000	0.000	16312.500	494.9173	FF				
40	Spectrogram 1	1	496.023331520	496.265413228	10352.900	16588.200	11156.250	11906.250	-80.61	0.2421	6235.300	11156.250	496.1120		SA	A	0	SB
41	Spectrogram 1	1	496.034211597	496.034211597	10823.500	10823.500	10781.250	10781.250	-82.00	0.0000	0.000	10781.250	496.0320	FI				
42	Spectrogram 1	1	496.257253170	496.257253170	16235.300	16235.300	16218.750	16218.750	-76.33	0.0000	0.000	16218.750	496.2560	FF				
43	Spectrogram 1	1	505.535299434	505.815461410	9882.400	16823.500	11531.250	11625.000	-81.48	0.2802	6941.100	11531.250	505.6480		SA	A	0	SB
44	Spectrogram 1	1	505.543459491	505.543459491	11647.100	11647.100	11625.000	11625.000	-84.56	0.0000	0.000	11625.000	505.5413	FI				
45	Spectrogram 1	1	505.804581333	505.804581333	16588.200	16588.200	16593.750	16593.750	-76.31	0.0000	0.000	16593.750	505.8027	FF				
46	Spectrogram 1	1	509.060579343	509.332581261	10470.600	16470.600	13312.500	12375.000	-81.34	0.2720	6000.000	13312.500	509.2320		SA	A	0	SS
47	Spectrogram 1	1	509.074179439	509.074179439	12117.600	12117.600	12093.750	12093.750	-83.03	0.0000	0.000	12093.750	509.0720	FI				
48	Spectrogram 1	1	509.327141223	509.327141223	16117.600	16117.600	16125.000	16125.000	-91.00	0.0000	0.000	16125.000	509.3280	FF				
49	Spectrogram 1	1	509.438662010	509.650823506	16000.000	20823.500	20343.750	19312.500	-84.64	0.2122	4823.500	20343.750	509.6320		SA	A	0	SS
50	Spectrogram 1	1	509.446822067	509.446822067	16588.200	16588.200	16593.750	16593.750	-83.43	0.0000	0.000	16593.750	509.4453	FI				
51	Spectrogram 1	1	509.642663449	509.642663449	20470.600	20470.600	20437.500	20437.500	-70.96	0.0000	0.000	20437.500	509.6427	FF				
52	Spectrogram 1	1	509.822184715	510.058826384	10588.200	16823.500	11625.000	11906.250	-80.38	0.2366	6235.300	11625.000	509.9307		SA	A	0	SS
53	Spectrogram 1	1	509.833064791	509.833064791	11882.400	11882.400	11906.250	11906.250	-97.50	0.0000	0.000	11906.250	509.8347	FI				
54	Spectrogram 1	1	510.050666326	510.050666326	16705.900	16705.900	16687.500	16687.500	-85.90	0.0000	0.000	16687.500	510.0533	FF				
55	Spectrogram 1	1	513.063712763	513.313954528	10470.600	16470.600	14250.000	12750.000	-80.11	0.2502	6000.000	14250.000	513.2427		SA	A	0	SS
56	Spectrogram 1	1	513.077312859	513.077312859	10941.200	10941.200	10968.750	10968.750	-71.08	0.0000	0.000	10968.750	513.0773	FI				
57	Spectrogram 1	1	513.305794471	513.305794471	16352.900	16352.900	16312.500	16312.500	-69.39	0.0000	0.000	16312.500	513.3067	FF				
58	Spectrogram 1	1	517.355060519	517.656982648	9882.400	16705.900	10875.000	11437.500	-80.99	0.3019	6823.500	10875.000	517.4507		SA	A	0	SB
59	Spectrogram 1	1	517.363220576	517.363220576	10588.200	10588.200	10593.750	10593.750	-73.42	0.0000	0.000	10593.750	517.3653	FI				
60	Spectrogram 1	1	517.651542610	517.651542610	16352.900	16352.900	16312.500	16312.500	-78.32	0.0000	0.000	16312.500	517.6533	FF				
61	Spectrogram 1	1	523.570019505	523.831141347	10470.600	16705.900	14250.000	12843.750	-79.75	0.2611	6235.300	14250.000	523.7707		SA	A	0	SB
62	Spectrogram 1	1	523.580899582	523.580899582	10823.500	10823.500	10781.250	10781.250	-72.22	0.0000	0.000	10781.250	523.5787	FI				
63	Spectrogram 1	1	523.825701308	523.825701308	16117.600	16117.600	16125.000	16125.000	-68.68	0.0000	0.000	16125.000	523.8240	FF				
64	Spectrogram 1	1	524.334344896	524.554666450	10000.000	16352.900	13031.250	12375.000	-81.12	0.2203	6352.900	13031.250	524.4533		SA	A	0	SB
65	Spectrogram 1	1	524.353385030	524.353385030	10235.300	10235.300	10218.750	10218.750	-79.72	0.0000	0.000	10218.750	524.3520	FI				
66	Spectrogram 1	1	524.541066354	524.541066354	15882.400	15882.400	15843.750	15843.750	-86.31	0.0000	0.000	15843.750	524.5387	FF				
67	Spectrogram 1	1	525.038513580	525.324115594	8941.200	12705.900	11343.750	10781.250	-78.22	0.2856	3764.700	11343.750	525.2747		SA	A	0	SB
68	Spectrogram 1	1	525.054833695	525.054833695	9294.100	9294.100	9281.250	9281.250	-76.91	0.0000	0.000	9281.250	525.0560	FI				
69	Spectrogram 1	1	525.313235517	525.313235517	12117.600	12117.600	12093.750	12093.750	-72.68	0.0000	0.000	12093.750	525.3120	FF				
70	Spectrogram 1	1	526.526154125	526.798156044	8470.600	11294.100	10593.750	10031.250	-78.16	0.2720	2823.500	10593.750	526.7467		SA	A	0	SB
71	Spectrogram 1	1	526.539754221	526.539754221	8823.500	8823.500	8812.500	8812.500	-82.03	0.0000	0.000	8812.500	526.5387	FI				
72	Spectrogram 1	1	526.781835929	526.781835929	10941.200	10941.200	10968.750	10968.750	-67.41	0.0000	0.000	10968.750	526.7840	FF				
73	Spectrogram 1	1	539.765559363	539.996760993	10941.200	21647.100	14718.750	14437.500	-85.01	0.2312	10705.900	14718.750	539.8667		SA	A	0	SS
74	Spectrogram 1	1	539.762839343	539.762839343	11411.800	11411.800	11437.500	11437.500	-77.47	0.0000	0.000	11437.500	539.7653	FI				
75	Spectrogram 1	1	539.991320955	539.991320955	20823.500	20823.500	20812.500	20812.500	-88.03	0.0000	0.000	20812.500	539.9893	FF				
76	Spectrogram 1	1	540.470044332	540.752926327	13294.100	21647.100	16031.250	15937.500	-86.43	0.2829	8353.000	16031.250	540.6133		SA	A	0	SS
77	Spectrogram 1	1	540.483644427	540.483644427	13882.400	13882.400	13875.000	13875.000	-93.69	0.0000	0.000	13875.000	540.4853	FI				
78	Spectrogram 1	1	540.744766269	540.744766269	20352.900	20352.900	20343.750	20343.750	-83.64	0.0000	0.000	20343.750	540.7467	FF				
79	Spectrogram 1	1	546.197248656	546.433890325	12941.200	20117.600	13406.250	15468.750	-85.46	0.2366	7176.400	13406.250	546.4000		NA	A	0	SS
80	Spectrogram 1	1	546.216288790	546.216288790	13294.100	13294.100	13312.500	13312.500	-79.97	0.0000	0.000	13312.500	546.2187	FI				
81	Spectrogram 1	1	546.425730267	546.425730267	19411.800	19411.800	19406.250	19406.250	-85.50	0.0000	0.000	19406.250	546.4267	FF				
82	Spectrogram 1	1	559.552634430	559.753915850	10941.200	18352.900	11812.500	13031.250	-82.07	0.2013	7411.700	11812.500	559.5893		SA	A	0	SS
83	Spectrogram 1	1	559.571674564	559.571674564	11529.400	11529.400	11531.250	11531.250	-77.54	0.0000	0.000	11531.250	559.5733	FI				
84	Spectrogram 1	1	559.748475811	559.748475811	18117.600	18117.600	18093.750	18093.750	-84.15	0.0000	0.000	18093.750	559.7493	FF				
85	Spectrogram 1	1	600.728663192	601.133946051	7647.100	22235.300	11156.250	12375.000	-82.76	0.4053	14588.200	11156.250	600.9280		NA	A	0	SS
86	Spectrogram 1	1	600.739543269	600.739543269	8352.900	8352.900	8343.750	8343.750	-82.40	0.0000	0.000	8343.750	600.7413	FI				
87	Spectrogram 1	1	601.125785993	601.125785993	21764.700	21764.700	21750.000	21750.000	-85.34	0.0000	0.000	21750.000	601.1253	FF				
88	Spectrogram 1	1	636.910598961	637.256041397	8941.200	21529.400	11812.500	11718.750	-81.04	0.3454	12588.200	11812.500	637.0453		SA	A	0	SS
89	Spectrogram 1	1	636.926919076	636.926919076	9176.500	9176.500	9187.500	9187.500	-85.55	0.0000	0.000	9187.500	636.9280	FI				
