Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	pf_check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	3.464641580	3.993222196	11837.4	24455.3	12187.500	16875.000	-79.77	0.5286	12617.886	12187.500	3.7867		NA	A	0	
2	Spectrogram 1	1	3.494631970	3.494631970	12577.5	12577.5	12562.500	12562.500	-74.15	0.0000	0.000	12562.500	3.4933	FI				
3	Spectrogram 1	1	3.951985410	3.951985410	24000.0	24000.0	24000.000	24000.000	-88.48	0.0000	0.000	24000.000	3.9520	FF				
4	Spectrogram 1	1	15.359276996	15.617944105	10909.1	14374.3	13500.000	13500.000	-74.87	0.2587	3465.241	13500.000	15.5733		SA	C	0	SB
5	Spectrogram 1	1	15.374272190	15.374272190	11679.1	11679.1	11718.750	11718.750	-83.03	0.0000	0.000	11718.750	15.3760	FI				
6	Spectrogram 1	1	15.602948911	15.602948911	13604.3	13604.3	13593.750	13593.750	-65.77	0.0000	0.000	13593.750	15.6053	FF				
7	Spectrogram 1	1	37.896847271	38.264229543	6545.5	27978.6	18656.250	18281.250	-79.52	0.3674	21433.155	18656.250	38.0053		SA	M	2	SB
8	Spectrogram 1	1	37.919340063	37.919340063	7828.9	7828.9	7875.000	7875.000	-73.15	0.0000	0.000	7875.000	37.9200	FI				
9	Spectrogram 1	1	38.260480744	38.260480744	27336.9	27336.9	27375.000	27375.000	-73.26	0.0000	0.000	27375.000	38.2613	FF				
10	Spectrogram 1	1	39.400115547	39.718763436	13989.3	19508.0	18375.000	18187.500	-79.67	0.3186	5518.717	18375.000	39.4933		SA	M	2	SB
11	Spectrogram 1	1	39.418859541	39.418859541	14759.4	14759.4	14718.750	14718.750	-75.97	0.0000	0.000	14718.750	39.4187	FI				
12	Spectrogram 1	1	39.703768241	39.703768241	18609.6	18609.6	18656.250	18656.250	-81.12	0.0000	0.000	18656.250	39.7013	FF				
13	Spectrogram 1	1	40.519287603	40.830437894	8085.6	28748.7	18187.500	18000.000	-78.97	0.3112	20663.102	18187.500	40.6240		SA	M	2	SB
14	Spectrogram 1	1	40.541780395	40.541780395	8984.0	8984.0	9000.000	9000.000	-64.61	0.0000	0.000	9000.000	40.5440	FI				
15	Spectrogram 1	1	40.819191498	40.819191498	27465.2	27465.2	27468.750	27468.750	-91.57	0.0000	0.000	27468.750	40.8213	FF				
16	Spectrogram 1	1	41.216564160	41.535212049	8984.0	19508.0	18750.000	16406.250	-76.36	0.3186	10524.064	18750.000	41.3440		SA	A	0	SB
17	Spectrogram 1	1	41.224061757	41.224061757	10267.4	10267.4	10312.500	10312.500	-77.65	0.0000	0.000	10312.500	41.2267	FI				
18	Spectrogram 1	1	41.523965653	41.523965653	18352.9	18352.9	18375.000	18375.000	-73.05	0.0000	0.000	18375.000	41.5253	FF				
19	Spectrogram 1	1	45.088102959	45.429243641	7315.5	27080.2	18093.750	17156.250	-78.96	0.3411	19764.706	18093.750	45.1787		SA	M	2	SB
20	Spectrogram 1	1	45.103098154	45.103098154	8855.6	8855.6	8812.500	8812.500	-73.28	0.0000	0.000	8812.500	45.1040	FI				
