Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	Pf_check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	49.555568214	50.191760449	11294.1	14117.6	12656.250	12843.750	-93.06	0.6362	2823.529	12656.250	49.7867		SA	C	0	SB
2	Spectrogram 1	1	49.566171418	49.566171418	11807.5	11807.5	11812.500	11812.500	-89.33	0.0000	0.000	11812.500	49.5680	FI				
3	Spectrogram 1	1	50.183808046	50.183808046	11679.1	11679.1	11718.750	11718.750	-93.28	0.0000	0.000	11718.750	50.1813	FF				
4	Spectrogram 1	1	51.422357627	51.509834059	10010.7	25668.4	14156.250	14062.500	-88.52	0.0875	15657.754	14156.250	51.4613		SA	A	0	SB
5	Spectrogram 1	1	51.435611632	51.435611632	10652.4	10652.4	10687.500	10687.500	-73.81	0.0000	0.000	10687.500	51.4347	FI				
6	Spectrogram 1	1	51.504532457	51.504532457	25026.7	25026.7	25031.250	25031.250	-97.85	0.0000	0.000	25031.250	51.5040	FF				
7	Spectrogram 1	1	112.543723017	112.758437897	6417.1	18481.3	8250.000	10593.750	-83.77	0.2147	12064.171	8250.000	112.5760		SA	A	0	SB
8	Spectrogram 1	1	112.559627823	112.559627823	7572.2	7572.2	7593.750	7593.750	-72.21	0.0000	0.000	7593.750	112.5600	FI				
9	Spectrogram 1	1	112.753136295	112.753136295	17711.2	17711.2	17718.750	17718.750	-88.41	0.0000	0.000	17718.750	112.7520	FF				
10	Spectrogram 1	1	135.428790837	135.794601372	5647.1	18352.9	7968.750	10406.250	-82.85	0.3658	12705.882	7968.750	135.5307		SA	A	0	SB
11	Spectrogram 1	1	135.442044842	135.442044842	6288.8	6288.8	6281.250	6281.250	-91.42	0.0000	0.000	6281.250	135.4400	FI				
12	Spectrogram 1	1	135.783998168	135.783998168	17711.2	17711.2	17718.750	17718.750	-98.21	0.0000	0.000	17718.750	135.7867	FF				
13	Spectrogram 1	1	165.154484629	165.517644363	7187.2	21561.5	7593.750	11437.500	-88.41	0.3632	14374.332	7593.750	165.3547		NA	A	0	SB
14	Spectrogram 1	1	165.175691037	165.175691037	7443.9	7443.9	7406.250	7406.250	-103.09	0.0000	0.000	7406.250	165.1733	FI				
15	Spectrogram 1	1	165.507041159	165.507041159	21304.8	21304.8	21281.250	21281.250	-96.01	0.0000	0.000	21281.250	165.5093	FF				
