Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	97.763998163	98.240095597	6032.086	20791.444	10500.000	10500.000	-77.81	0.4761	14759.358	10500.000	98.0027		SA	A	0	SB
2	Spectrogram 1	1	97.793988553	97.793988553	6673.797	6673.797	6750.000	6750.000	-71.27	0.0000	0.000	6750.000	97.7947	FI				
3	Spectrogram 1	1	98.232598000	98.232598000	19379.679	19379.679	19312.500	19312.500	-85.29	0.0000	0.000	19312.500	98.2320	FF				
4	Spectrogram 1	1	98.746183421	99.177295271	6673.797	21689.840	10687.500	10687.500	-78.50	0.4311	15016.043	10687.500	98.9493		SA	A	0	SB
5	Spectrogram 1	1	98.768676213	98.768676213	7187.166	7187.166	7125.000	7125.000	-78.16	0.0000	0.000	7125.000	98.7680	FI				
6	Spectrogram 1	1	99.173546472	99.173546472	20149.733	20149.733	20062.500	20062.500	-89.12	0.0000	0.000	20062.500	99.1733	FF				
7	Spectrogram 1	1	187.202524823	187.637385471	6288.770	17197.861	12000.000	10687.500	-74.69	0.4349	10909.091	12000.000	187.5067		SA	A	0	SB
8	Spectrogram 1	1	187.228766413	187.228766413	6802.139	6802.139	6750.000	6750.000	-75.30	0.0000	0.000	6750.000	187.2293	FI				
9	Spectrogram 1	1	187.626139075	187.626139075	16427.807	16427.807	16500.000	16500.000	-76.67	0.0000	0.000	16500.000	187.6267	FF				
10	Spectrogram 1	1	241.165055765	241.719877972	6417.112	17069.519	11625.000	10125.000	-77.85	0.5548	10652.407	11625.000	241.5120		SA	A	0	SB
11	Spectrogram 1	1	241.198794954	241.198794954	7058.824	7058.824	7125.000	7125.000	-72.76	0.0000	0.000	7125.000	241.2000	FI				
12	Spectrogram 1	1	241.697385180	241.697385180	16171.123	16171.123	16125.000	16125.000	-76.94	0.0000	0.000	16125.000	241.6987	FF				
13	Spectrogram 1	1	366.394083102	366.678991802	7572.193	16171.123	12750.000	12187.500	-74.49	0.2849	8598.930	12750.000	366.5600		SA	A	0	SB
14	Spectrogram 1	1	366.415340895	366.415340895	8213.904	8213.904	8250.000	8250.000	-74.74	0.0000	0.000	8250.000	366.4160	FI				
15	Spectrogram 1	1	366.674008005	366.674008005	15786.096	15786.096	15750.000	15750.000	-82.30	0.0000	0.000	15750.000	366.6747	FF				
16	Spectrogram 1	1	417.982394955	418.259806059	9625.668	21818.182	11250.000	11812.500	-79.45	0.2774	12192.514	11250.000	418.0453		SA	A	0	SB
17	Spectrogram 1	1	418.004887748	418.004887748	9625.668	9625.668	9562.500	9562.500	-65.03	0.0000	0.000	9562.500	418.0053	FI				
18	Spectrogram 1	1	418.244810864	418.244810864	21176.471	21176.471	21187.500	21187.500	-78.23	0.0000	0.000	21187.500	418.2453	FF				
19	Spectrogram 1	1	670.874564635	671.151975738	9754.011	18994.652	12375.000	14062.500	-79.51	0.2774	9240.641	12375.000	671.0827		SA	A	0	SB
20	Spectrogram 1	1	670.885811031	670.885811031	10652.406	10652.406	10687.500	10687.500	-77.37	0.0000	0.000	10687.500	670.8853	FI				
21	Spectrogram 1	1	671.136980544	671.136980544	18352.941	18352.941	18375.000	18375.000	-80.09	0.0000	0.000	18375.000	671.1360	FF				
22	Spectrogram 1	1	811.574495451	811.975616912	9625.668	20791.444	10500.000	11250.000	-79.93	0.4011	11165.776	10500.000	811.7200		SA	A	0	SB
23	Spectrogram 1	1	811.581993049	811.581993049	12834.225	12834.225	12750.000	12750.000	-76.92	0.0000	0.000	12750.000	811.5813	FI				
24	Spectrogram 1	1	811.956872918	811.956872918	20149.733	20149.733	20062.500	20062.500	-97.00	0.0000	0.000	20062.500	811.9573	FF				
25	Spectrogram 1	1	939.755823850	940.074471739	12834.225	19251.337	17062.500	15937.500	-82.24	0.3186	6417.112	17062.500	939.9173		SA	A	0	SB
26	Spectrogram 1	1	939.774567843	939.774567843	14245.989	14245.989	14250.000	14250.000	-81.03	0.0000	0.000	14250.000	939.7733	FI				
27	Spectrogram 1	1	940.063225343	940.063225343	18737.968	18737.968	18750.000	18750.000	-89.81	0.0000	0.000	18750.000	940.0640	FF				
28	Spectrogram 1	1	938.964827326	939.309716805	13604.278	19508.021	18000.000	16500.000	-83.51	0.3449	5903.743	18000.000	939.1840		SA	A	0	SB
29	Spectrogram 1	1	938.991068916	938.991068916	13989.305	13989.305	14062.500	14062.500	-90.49	0.0000	0.000	14062.500	938.9920	FI				
30	Spectrogram 1	1	939.294721611	939.294721611	18994.652	18994.652	18937.500	18937.500	-81.70	0.0000	0.000	18937.500	939.2960	FF				
31	Spectrogram 1	1	1054.159815624	1054.448473124	13347.594	17454.545	15000.000	15187.500	-78.72	0.2887	4106.951	15000.000	1054.2853		SA	A	0	SB
32	Spectrogram 1	1	1054.204801209	1054.204801209	13860.963	13860.963	13875.000	13875.000	-79.75	0.0000	0.000	13875.000	1054.2053	FI				
33	Spectrogram 1	1	1054.429729130	1054.429729130	16812.834	16812.834	16875.000	16875.000	-68.79	0.0000	0.000	16875.000	1054.4293	FF				
34	Spectrogram 1	1	1084.491803396	1084.814200084	7443.850	15914.439	12562.500	12375.000	-74.81	0.3224	8470.589	12562.500	1084.6933		SA	A	0	SB
35	Spectrogram 1	1	1084.529291383	1084.529291383	7957.219	7957.219	7875.000	7875.000	-78.49	0.0000	0.000	7875.000	1084.5280	FI				
36	Spectrogram 1	1	1084.814200084	1084.814200084	15144.385	15144.385	15187.500	15187.500	-86.94	0.0000	0.000	15187.500	1084.8133	FF				
37	Spectrogram 1	1	1128.889725761	1129.185880858	12962.567	17326.203	14625.000	14437.500	-75.72	0.2962	4363.636	14625.000	1129.0480		SA	A	0	SB
38	Spectrogram 1	1	1128.919716151	1128.919716151	13860.963	13860.963	13875.000	13875.000	-67.73	0.0000	0.000	13875.000	1128.9200	FI				
