"saida"	"SAIDA"	"DATA"	"BOTOS"	"T_BOTO"	"GRUPOS"	"FOTOS"	"KM"	"T_BARCO"
"1"	"1"	"2020-07-23"	142	"1:27:52"	12	854	83.1	"6:41:7"
"10"	"10"	"2020-10-27"	44	"1:8:0"	4	932	40.4	"3:40:55"
"11"	"11"	"2020-11-03"	3	"0:16:40"	1	56	76.3	"3:54:29"
"12"	"12"	"2020-11-26"	8	"0:33:11"	1	200	85.4	"6:12:45"
"13"	"13"	"2020-11-26"	16	"1:13:11"	3	592	85.4	"6:12:45"
"14"	"14"	"2020-12-02"	61	"1:37:5"	6	898	31.6	"4:48:28"
"15"	"15"	"2020-12-03"	11	"0:26:10"	3	60	49.7	"3:36:34"
"16"	"16"	"2020-12-14"	14	"1:4:57"	3	529	32	"2:38:53"
"17"	"17"	"2020-12-14"	28	"1:14:59"	2	1104	49.8	"3:21:38"
"18"	"18"	"2020-12-15"	49	"1:40:53"	8	897	30.5	"3:38:30"
"19"	"19"	"2021-02-01"	39	"1:11:19"	8	524	39	"4:33:57"
"2"	"2"	"2020-07-27"	71	"2:0:15"	12	770	53.5	"5:46:9"
"20"	"20"	"2021-02-02"	14	"0:29:39"	2	202	76.8	"5:5:40"
"21"	"21"	"2021-02-04"	6	"0:13:0"	2	143	56.9	"2:46:9"
"22"	"22"	"2021-02-09"	25	"0:48:22"	4	436	44.1	"4:2:33"
"23"	"23"	"2021-02-18"	50	"1:52:54"	9	706	82.2	"5:9:6"
"24"	"24"	"2021-02-25"	21	"0:36:57"	4	164	59	"3:2:10"
"25"	"25"	"2021-03-09"	58	"1:19:9"	6	439	77.3	"4:42:2"
"26"	"26"	"2021-03-11"	14	"0:44:48"	3	205	39.7	"3:20:52"
"27"	"27"	"2021-05-03"	25	"1:15:29"	5	309	40.6	"3:26:45"
"28"	"28"	"2021-05-04"	26	"1:4:47"	5	252	81.6	"6:1:22"
"29"	"29"	"2021-05-04"	21	"1:13:24"	5	312	81.6	"6:1:22"
"3"	"3"	"2020-08-03"	42	"1:7:7"	6	404	70.8	"4:39:16"
"30"	"30"	"2021-05-17"	56	"1:0:20"	3	725	76.8	"4:3:12"
"31"	"31"	"2021-05-24"	23	"1:10:9"	6	441	38	"3:29:18"
"32"	"32"	"2021-05-25"	31	"1:4:43"	6	383	59.6	"3:30:36"
"33"	"33"	"2021-06-14"	60	"1:33:10"	7	947	79.2	"4:29:39"
"34"	"34"	"2021-06-15"	38	"1:9:44"	6	470	74.6	"6:8:27"
"35"	"35"	"2021-06-15"	36	"1:22:19"	6	312	74.6	"6:8:27"
"36"	"36"	"2021-07-26"	66	"1:43:42"	11	466	44.3	"4:23:12"
"37"	"37"	"2021-07-27"	17	"0:29:53"	4	104	90.4	"6:41:27"
"38"	"38"	"2021-07-27"	30	"1:26:18"	3	1072	90.4	"6:41:27"
"39"	"39"	"2021-08-19"	49	"1:37:38"	5	860	75.8	"4:17:13"
"4"	"4"	"2020-08-27"	70	"1:50:0"	10	1016	49.1	"5:19:9"
"5"	"5"	"2020-08-29"	81	"2:11:6"	8	1158	69.5	"5:0:15"
"6"	"6"	"2020-09-03"	60	"1:15:56"	8	527	81.7	"5:22:24"
"7"	"7"	"2020-09-22"	27	"0:26:52"	2	278	73.5	"3:51:10"
"8"	"8"	"2020-09-27"	38	"1:6:27"	3	260	43.3	"3:54:40"
"9"	"9"	"2020-10-01"	23	"0:54:38"	4	285	67.1	"4:4:24"
