"saida"	"SAIDA"	"DATA"	"BOTOS"	"T_BOTO"	"GRUPOS"	"COMPS"	"T_BARCO"	"KM"
"1"	"1"	"2020-07-27"	83	"2:14:59"	16	26	"5:46:9"	53.5
"10"	"10"	"2020-12-03"	6	"0:22:14"	1	5	"3:36:34"	49.7
"11"	"11"	"2020-12-14"	12	"0:49:46"	2	7	"2:38:53"	32
"12"	"12"	"2020-12-15"	71	"2:4:33"	10	16	"3:38:30"	30.5
"13"	"13"	"2021-02-01"	18	"0:42:39"	3	15	"4:33:57"	39
"14"	"14"	"2021-02-02"	12	"0:20:2"	1	6	"5:5:40"	76.8
"15"	"15"	"2021-02-09"	19	"0:48:22"	2	10	"4:2:33"	44.1
"16"	"16"	"2021-02-25"	13	"0:36:57"	2	5	"3:2:10"	59
"17"	"17"	"2021-03-11"	14	"0:44:48"	3	11	"3:20:52"	39.7
"18"	"18"	"2021-05-03"	22	"1:15:29"	4	19	"3:26:45"	40.6
"19"	"19"	"2021-05-04"	27	"1:4:47"	5	20	"6:1:22"	81.6
"2"	"2"	"2020-08-03"	42	"1:10:15"	6	12	"4:39:16"	70.8
"20"	"20"	"2021-05-24"	14	"0:45:17"	4	9	"3:29:18"	38
"21"	"21"	"2021-05-25"	16	"0:54:30"	4	12	"3:30:36"	59.6
"22"	"22"	"2021-06-15"	35	"0:52:10"	5	18	"6:8:27"	74.6
"23"	"23"	"2021-06-15"	24	"1:12:51"	5	13	"6:8:27"	74.6
"24"	NA	NA	NA	"NA:NA:NA"	NA	NA	"4:23:12"	44.3
"25"	NA	NA	NA	"NA:NA:NA"	NA	NA	"6:41:27"	90.4
"3"	"3"	"2020-08-27"	63	"1:51:31"	10	13	"5:19:9"	49.1
"4"	"4"	"2020-08-29"	94	"2:20:28"	8	17	"5:0:15"	69.5
"5"	"5"	"2020-09-27"	38	"1:1:1"	3	7	"3:54:40"	43.3
"6"	"6"	"2020-10-01"	18	"0:48:15"	3	5	"4:4:24"	67.1
"7"	"7"	"2020-10-27"	103	"2:11:15"	6	20	"3:40:55"	40.4
"8"	"8"	"2020-11-26"	16	"1:6:22"	2	7	"6:12:45"	85.4
"9"	"9"	"2020-12-02"	48	"1:21:50"	5	16	"4:48:28"	31.6
