"saida"	"SAIDA"	"DATA"	"RECS"	"T_REC"	"ASSOBIOS"	"T_BARCO"	"KM"
"1"	"1"	"2020-08-04"	8	"3:10:3"	391	"5:0:15"	25.3
"10"	"10"	"2020-12-01"	6	"3:17:54"	305	"4:32:58"	25.3
"11"	"11"	"2020-12-11"	6	"3:6:58"	64	"5:13:11"	26.9
"12"	"12"	"2020-12-16"	7	"3:39:29"	80	"5:33:37"	27.1
"13"	"13"	"2021-01-20"	6	"3:15:18"	32	"8:23:7"	40.9
"14"	"14"	"2021-01-20"	6	"3:3:54"	76	"8:23:7"	40.9
"15"	"15"	"2021-02-05"	8	"3:46:37"	379	"5:29:39"	19.3
"16"	"16"	"2021-02-19"	7	"3:46:34"	183	"4:44:58"	25.9
"17"	"17"	"2021-02-23"	6	"3:10:41"	119	"4:10:48"	16
"18"	"18"	"2021-03-05"	8	"3:46:8"	280	"5:1:34"	19.7
"19"	"19"	"2021-03-12"	7	"3:45:3"	193	"4:45:48"	18.5
"2"	"2"	"2020-08-06"	6	"3:20:48"	67	"4:18:1"	15.5
"20"	"20"	"2021-04-30"	7	"3:40:1"	27	"8:14:43"	31.9
"21"	"21"	"2021-04-30"	6	"3:5:4"	NA	"8:14:43"	31.9
"22"	"22"	"2021-05-10"	6	"3:8:37"	NA	"4:10:36"	16
"23"	"23"	"2021-05-14"	7	"3:50:0"	NA	"5:0:42"	26
"24"	"24"	"2021-05-27"	7	"3:32:34"	NA	"7:48:27"	26.6
"25"	"25"	"2021-06-08"	6	"3:12:5"	NA	"4:0:14"	16.1
"26"	"26"	"2021-06-11"	7	"3:43:41"	NA	"5:1:6"	25.7
"27"	"27"	"2021-06-12"	7	"NA:NA:NA"	NA	"5:0:40"	21.6
"28"	"28"	"2021-08-02"	7	"NA:NA:NA"	NA	"5:57:19"	20.8
"29"	"29"	"2021-08-05"	6	"3:13:26"	NA	"4:31:11"	15.1
"3"	"3"	"2020-08-13"	6	"3:16:56"	233	"4:45:51"	25.5
"30"	"30"	"2021-08-06"	7	"NA:NA:NA"	NA	"5:4:39"	26.6
"4"	"4"	"2020-09-04"	6	"3:7:49"	354	"5:0:0"	24.1
"5"	"5"	"2020-09-24"	6	"3:14:0"	69	"4:26:54"	26.1
"6"	"6"	"2020-10-02"	6	"NA:NA:NA"	241	"5:15:28"	24.2
"7"	"7"	"2020-10-29"	7	"3:40:3"	178	"5:40:15"	24
"8"	"8"	"2020-11-12"	6	"3:7:28"	192	"8:26:22"	32.3
"9"	"9"	"2020-11-12"	7	"3:6:28"	271	"8:26:22"	32.3
"31"	"31"	NA	1	"NA:NA:NA"	NA	"NA:NA:NA"	NA
